Размер массива;Тип массива;Выбор (time);Выбор (operations);Пузырёк (time);Пузырёк (operations);Пузырек Айв1 (time);Пузырек Айв1 (operations);Пузырёк Айв1+2 (time);Пузырёк Айв1+2 (operations);Вставки (time);Вставки (operations);Бин. вставки (time);Бин. вставки (operations);Подсчет (time);Подсчет (operations);Цифровая (time);Цифровая (operations);Слияние (time);Слияние (operations);Быстрая (time);Быстрая (operations);Пирамидальная (time);Пирамидальная (operations);Шелла-Циура (time);Шелла-Циура (operations);Шелла-Шелла (time);Шелла-Шелла (operations)
50;случайные числа 0-5;6746;6792;2378;12265;2594;12439;2824;9315;830;4632;6123;5687;785;1002;853;3619;14651;6077;1249;3018;2873;5627;2620;5756;828;4630;
50;случайные числа 0-4000;6761;6897;2441;12221;2654;12448;2558;8521;806;4544;5258;6666;5040;28621;1406;7081;14613;6011;1100;3003;3179;6181;2496;5646;898;4750;
50;почти отсортированный массив;4256;6570;1538;10245;123;402;121;258;135;592;718;3894;4751;28748;1339;7081;14419;5687;3033;13628;3774;6799;411;706;431;3270;
50;обратно отсортированный массив;4760;7295;1255;15145;1976;16327;2131;13831;1376;10392;10288;10828;4141;29483;1108;7081;11265;5567;2478;10503;2514;5432;4358;12956;531;4320;
100;случайные числа 0-5;20033;26093;7113;48919;7608;47452;8371;35859;2460;18040;19650;19070;930;1951;1023;5169;24638;13833;2731;8423;5278;12742;8860;22738;1231;9824;
100;случайные числа 0-4000;20689;26345;7505;50891;8331;52869;8516;39113;3085;21984;20968;24500;5073;29600;1626;10031;25121;13887;1925;6757;6556;14510;10776;27668;1855;12204;
100;почти отсортированный массив;17768;25662;4996;41307;6268;33137;2734;10019;426;2816;2151;10587;3648;29838;1350;10031;19795;13119;4170;26838;5678;15516;1111;3708;928;9154;
100;обратно отсортированный массив;15541;28311;4423;60291;6626;65147;8943;55150;4646;40784;35658;38158;4126;30307;1415;10031;18736;12567;7808;39778;5098;12983;14398;51168;1004;10674;
150;случайные числа 0-5;40030;57904;13523;109473;14180;110988;14058;82089;4284;39248;30935;39780;955;2900;1043;6719;26271;22315;4155;17468;6584;20392;14131;49570;1448;16834;
150;случайные числа 0-4000;35260;58354;12098;113405;13291;116119;14404;88754;4983;47112;33881;48789;3289;30571;1530;12981;26928;22315;2348;11551;7466;23119;16556;59400;2333;20914;
150;почти отсортированный массив;31566;57232;7420;91569;10214;81832;6525;30944;488;3440;2018;16632;2966;30872;1344;12981;21829;21049;8470;69736;7664;25398;1185;4810;1103;15814;
150;обратно отсортированный массив;29484;63111;7423;135441;11723;146472;12353;123975;8166;91184;62080;81208;3016;31320;1326;12981;21276;20053;11358;87803;5655;21079;22481;114490;1385;18744;
200;случайные числа 0-5;51068;102257;16923;194123;17644;191188;18341;139474;7586;68648;44840;68391;1000;3852;1053;8269;28513;31093;4889;26163;6881;28641;19210;86770;1661;23108;
200;случайные числа 0-4000;50181;102865;16898;200839;18896;209087;20870;156829;6791;82080;41525;80920;2536;31328;1330;15931;25725;31207;2370;14526;8153;33318;20451;103560;2431;29588;
200;почти отсортированный массив;43280;101307;10820;162555;15550;152952;11218;65523;586;5512;3404;24164;2461;31589;1470;15931;24100;29545;10305;107976;8400;35515;1536;7850;1126;19678;
200;обратно отсортированный массив;43245;111582;10345;240587;16429;260292;17823;220294;10960;161576;87058;139383;2463;32242;1214;15931;21216;27955;16868;154195;6831;29668;33153;202930;1276;25468;
250;случайные числа 0-5;64938;159018;24271;302741;24783;310044;26366;230998;7145;105984;56686;103784;1008;4800;1049;9819;29726;39895;6148;39213;7979;38187;24151;133890;1620;28396;
250;случайные числа 0-4000;65268;159838;21366;314065;22118;324767;24200;246788;7949;128632;55529;121918;2399;32694;1375;18881;28208;40177;2550;19242;8533;42780;27238;162200;2675;36866;
250;почти отсортированный массив;57598;157882;13250;253605;20761;244152;17368;112698;661;7712;3070;31828;2458;32534;1409;18881;24300;37465;12368;173649;8914;45635;1758;11050;1273;26846;
250;обратно отсортированный массив;56450;172957;12746;375697;20631;406567;22404;344059;13611;251896;113786;213157;2208;33458;1304;18881;23954;36073;22048;237182;7643;38883;44669;316280;1543;33326;
300;случайные числа 0-5;80079;228312;26106;435987;28293;442869;32113;330833;8990;152576;72046;146674;995;5752;1076;11369;32051;49283;7430;52458;8050;45735;28593;192580;1830;38188;
300;случайные числа 0-4000;81985;229341;29673;451187;30001;472229;32288;354182;10161;182976;72900;168362;2224;33517;1416;21831;32506;49901;3230;26440;10346;53265;34946;230580;3463;50318;
300;почти отсортированный массив;81358;226957;16933;364651;27315;355347;22751;172367;713;9904;3554;40151;2071;33749;1431;21831;26201;46697;19126;159941;10646;56982;2064;14240;1628;37598;
300;обратно отсортированный массив;77816;249527;16879;540867;30443;585417;32836;495414;18376;362336;155790;302045;2256;34345;1488;21831;29984;44339;31863;337970;9543;48446;63688;454780;1883;43698;
