Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);295701;162981;163917;333906;
200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);295492;172589;171600;335614;
300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);292345;168492;166393;347514;
400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);291928;171785;178327;357953;
500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);293497;175271;183405;345522;
600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);284634;183240;189091;348549;
700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);295330;178405;183000;345339;
800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);290160;179086;189175;363211;
900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);281931;186100;200644;372825;
1000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);281308;199260;214217;374115;
1100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);277758;194019;209641;366392;
1200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);278496;201390;218457;377733;
1300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);280239;191973;213364;372368;
1400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);269619;206047;229023;372532;
1500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);269849;203509;226369;369027;
1600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);272736;202272;228747;398401;
1700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);265021;206465;234093;395722;
1800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);265792;214579;243930;387420;
1900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);258711;208231;239386;398406;
2000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);273633;208767;239168;403133;
2100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (1 символов подстановки);265176;222190;253134;404393;
