x,y1,y2,y3
90,18666,31792,20458
3540,204625,4184583,3441292
11990,283000,13483458,11193667
25440,421459,35528416,32266333
43890,708208,80036500,74081583
67340,938042,154414167,142956458
95790,1304708,252694958,233861125
129240,1796541,403006375,370132209
167690,2029375,580795333,541706250
211140,2610666,819908000,768509541
259590,3118833,1119524416,1051899792
313040,3530667,1476111000,1388763750
371490,4060458,1916896291,1810094292
434940,4692959,2444154084,2285069125
503390,5481834,3008839834,2842657500
576840,6109208,3696854833,3493886041
655290,7065042,4484786417,4222210167
738740,7806750,5334138209,5055568250
827190,8580875,6343561750,5984917750
920640,9656708,7439315416,7032874500
1019090,10406333,8636263791,8180811750
