x,y1,y2,y3
90,21667,32958,20916
3540,199000,4395292,3752459
11990,448042,17936791,13484459
25440,438166,35736500,32252042
43890,652625,80667292,75374583
67340,993625,152103041,142100208
95790,1283250,252697208,235642584
129240,1636000,394431750,377725500
167690,2037625,587494166,543557750
211140,2461250,814367417,768113583
259590,3066416,1110626708,1050379625
313040,3489833,1473691292,1397311375
371490,4048667,1911784083,1800121958
434940,4697417,2420773583,2290291708
503390,5564375,3019615042,2842169834
576840,6048417,3690994917,3489851750
655290,6886417,4468862541,4214336250
738740,7784250,5356310500,5045045750
827190,8477708,6369152917,5984399417
920640,9325791,7460891125,7033400250
1019090,10259792,8646821667,8170488375
