x,y1,y2,y3
10,21667,32958,20916
60,199000,4395292,3752459
110,448042,17936791,13484459
160,438166,35736500,32252042
210,652625,80667292,75374583
260,993625,152103041,142100208
310,1283250,252697208,235642584
360,1636000,394431750,377725500
410,2037625,587494166,543557750
460,2461250,814367417,768113583
510,3066416,1110626708,1050379625
560,3489833,1473691292,1397311375
610,4048667,1911784083,1800121958
660,4697417,2420773583,2290291708
710,5564375,3019615042,2842169834
760,6048417,3690994917,3489851750
810,6886417,4468862541,4214336250
860,7784250,5356310500,5045045750
910,8477708,6369152917,5984399417
960,9325791,7460891125,7033400250
1010,10259792,8646821667,8170488375
