x,y1,y2,y3
18,9792,31208,6375
118,47000,3077584,185416
218,51125,10218000,387375
318,73125,30625375,754708
418,97292,68785458,1283958
518,111250,134065625,1981333
618,142333,224503459,2646500
718,160583,357486917,3585375
818,190500,498289833,4701208
918,203542,731489250,6016292
1018,222542,997615083,7286250
1118,266417,1302653208,8722333
1218,285791,1719399542,10275833
1318,298750,2180435834,12017666
1418,328667,2695086875,13980167
1518,352417,3312726042,16206916
1618,399792,4042066417,17850083
1718,433250,4822712416,20319875
1818,418750,5684395500,22432583
1918,448292,6589021667,24956583
2018,465958,7893571667,27561208
