x,y1,y2,y3
10,9792,31208,6375
60,47000,3077584,185416
110,51125,10218000,387375
160,73125,30625375,754708
210,97292,68785458,1283958
260,111250,134065625,1981333
310,142333,224503459,2646500
360,160583,357486917,3585375
410,190500,498289833,4701208
460,203542,731489250,6016292
510,222542,997615083,7286250
560,266417,1302653208,8722333
610,285791,1719399542,10275833
660,298750,2180435834,12017666
710,328667,2695086875,13980167
760,352417,3312726042,16206916
810,399792,4042066417,17850083
860,433250,4822712416,20319875
910,418750,5684395500,22432583
960,448292,6589021667,24956583
1010,465958,7893571667,27561208
